;;;;;;;;;;;;;"Normalised abundance";;;;;;;;;;;"Raw abundance";;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;"LP110";"LP130";"500";"501";"502";"503";"504";"505";"506";"507";"508";"LP110";"LP130";"500";"501";"502";"503";"504";"505";"506";"507";"508";"Tags";;;;;;;;;;;;;;;
"Compound";"Neutral mass (Da)";"m/z";"Charge";"Retention time (min)";"Chromatographic peak width (min)";"Identifications";"Max Fold Change";"Highest Mean";"Lowest Mean";"Isotope Distribution";"Maximum Abundance";"Minimum CV%";"210921C1NHR_B1LP110abcNR";"210921C1NHR_B1LP130abcNR";"210921C1NHR_B1500abcNR";"210921C1NHR_B1501abcNR";"210921C1NHR_B1502abcNR";"210921C1NHR_B1503abcNR";"210921C1NHR_B1504abcNR";"210921C1NHR_B1505abcNR";"210921C1NHR_B1506abcNR";"210921C1NHR_B1507abcNR";"210921C1NHR_B1508abcNR";"210921C1NHR_B1LP110abcNR";"210921C1NHR_B1LP130abcNR";"210921C1NHR_B1500abcNR";"210921C1NHR_B1501abcNR";"210921C1NHR_B1502abcNR";"210921C1NHR_B1503abcNR";"210921C1NHR_B1504abcNR";"210921C1NHR_B1505abcNR";"210921C1NHR_B1506abcNR";"210921C1NHR_B1507abcNR";"210921C1NHR_B1508abcNR";"D0NoQC - Anova p-value <= 0,05";"D0NoQC - Max fold change >= 2";"D0NoQC - Minimum CV >= 30";"D0NoQC - qValue>0.004";"D0NoQC - Power<0.8";"D-MolNet - Not fragmented";"Accepted Compound ID";"Accepted Description";"Adducts";"Formula";"Score";"Fragmentation Score";"Mass Error (ppm)";"Isotope Similarity";"Retention Time Error (mins)";"Compound Link"
"0,59_113,9801n";"113,980060315409";"158,978263185409";"1";"0,593883333333333";"0,0875666666666667";"0";"1,70616655083721";"506";"504";"100 - 15,8 - 15,8";"6718,89670850931";"---";"5257,19169109311";"4668,10539142064";"5563,40665440703";"5978,82491413558";"4130,50871674469";"4218,35137534417";"3938,0075205509";"4811,15017268805";"6718,89670850931";"5541,73663658555";"5393,95104080659";"4982,91403358191";"5283,61573700275";"4955,49792144396";"5294,99250938925";"3928,28895136356";"3985,92873413663";"3982,24958361085";"5130,20736809422";"6298,03697701472";"6063,24686838876";"5852,50957541198";"x";;;;;;;;"M+FA-H, 2M+FA-H";;;;;;;
"0,59_199,9655n";"199,965493730769";"244,963723715535";"1";"0,590083333333333";"0,0647166666666666";"0";"1,97961863030946";"506";"502";"100 - 3,06 - 4,06";"600,755358990162";"---";"456,298003088088";"407,772403871072";"497,118852333237";"539,882894626448";"303,47024916423";"348,713825862531";"308,375334993711";"437,649317102504";"600,755358990162";"499,92206035466";"544,348110903278";"432,49207118226";"461,53899913407";"442,799096394748";"478,133399798301";"288,613076163392";"329,500398335777";"311,839818224311";"466,672556592892";"563,125112530453";"546,967686423915";"590,625036697119";"x";;;;;;;;"M-H, M+FA-H";;;;;;;
"0,59_200,9733m/z";;"200,973257351281";"1";"0,590083333333333";"0,0647166666666666";"0";"1,94108850770539";"506";"504";"100 - 0,431";"233,330092783366";"---";"175,989571857404";"151,070299695349";"194,534005258977";"203,288978445335";"124,017854989898";"135,285986104501";"120,205797858848";"163,258718783004";"233,330092783366";"182,338447836096";"198,956956843826";"166,807862239086";"170,989586981273";"173,277439273182";"180,037655152688";"117,946239298238";"127,832001499862";"121,55626569348";"174,085416572694";"218,714711053499";"199,497575458629";"215,870979587015";"x";;;;;;;;;;;;;;;
"0,59_386,9390m/z";;"386,939002672352";"1";"0,593883333333333";"0,03045";"0";"9,66134724168411";"506";"504";"100";"41,3910563892098";"---";"21,4208102294241";"12,9581171968781";"20,5310714826334";"23,2576117560687";"13,2843650522938";"10,9584258757756";"4,28419094705831";"31,7794785998369";"41,3910563892098";"36,4720257697635";"25,9258956629454";"20,3032459485415";"14,6667022705147";"18,2876586913906";"20,5975056642836";"12,633994512408";"10,3546387421547";"4,33232225332207";"33,8869728474898";"38,7983942850017";"39,9042593566056";"28,1299462065252";"x";"x";;"x";;;;;;;;;;;;
"0,59_426,9193m/z";;"426,919261892634";"1";"0,590083333333333";"0,0647166666666666";"0";"2,34886716543021";"506";"LP130";"100 - 53,2 - 68,6 - 22,6 - 11,4";"2218,53300210351";"---";"1207,24844057854";"944,511905464511";"1716,97461043646";"1690,40830006739";"1130,87974221195";"1185,27444854021";"1216,68218258635";"1817,62943661442";"2218,53300210351";"1748,18047092934";"1641,77006377418";"1144,26400063945";"1069,04997832108";"1529,36224901877";"1497,06663352933";"1075,51459185715";"1119,96822025972";"1230,35115847454";"1938,1677132257";"2079,56804340803";"1912,69460474965";"1781,34264589585";"x";;;;;;;;;;;;;;;
"0,60_114,9882m/z";;"114,988217697823";"1";"0,5977";"0,0723333333333334";"0";"1,77711320327956";"506";"504";"100";"289,784618890228";"---";"249,727403996856";"226,012905288709";"252,80163937853";"277,062929029069";"186,68972114338";"201,309703568781";"163,064805525865";"208,899301149788";"289,784618890228";"253,658007515231";"248,926794176536";"236,698651877991";"255,813706636498";"225,178218364743";"245,373657015757";"177,549841724741";"190,217945476357";"164,89677851507";"222,752708911932";"271,633026123078";"277,528728008278";"270,088926553722";"x";;;"x";;;;;;;;;;;;
"0,60_421,9345n";"421,934464602317";"442,896732114734";"1";"0,6015";"0,0647166666666666";"0";"4,34677828960119";"LP110";"504";"100 - 25,1 - 28,8 - 0,345";"949,985070900776";"---";"949,985070900776";"940,954340221194";"534,00425750108";"765,39777347017";"385,380448023196";"360,689481846044";"218,549235228636";"234,778697553585";"686,778747346877";"620,740427544504";"705,197185750554";"900,422548697385";"1065,02333236327";"475,654064581565";"677,854851987034";"366,513148829323";"340,816219861177";"221,004555335626";"250,348328534508";"643,760148945365";"679,155777368456";"765,14845072482";;"x";;"x";"x";;;;"M-H2O-H, M+Na-2H";;;;;;;
