;;;;;;;;;;;;;"Normalised abundance";;;;;;;;;;;"Raw abundance";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;"LP110";"LP130";"500";"501";"502";"503";"504";"505";"506";"507";"508";"LP110";"LP130";"500";"501";"502";"503";"504";"505";"506";"507";"508";"Tags";;;;;;;;;;;;;;;;;;;;;;;;;
"Compound";"Neutral mass (Da)";"m/z";"Charge";"Retention time (min)";"Chromatographic peak width (min)";"Identifications";"Max Fold Change";"Highest Mean";"Lowest Mean";"Isotope Distribution";"Maximum Abundance";"Minimum CV%";"210927C2PHR_B1LP110abcNR";"210927C2PHR_B1LP130abcNR";"210927C2PHR_B1500abcNR";"210927C2PHR_B1501abcNR";"210927C2PHR_B1502abcNR";"210927C2PHR_B1503abcNR";"210927C2PHR_B1504abcNR";"210927C2PHR_B1505abcNR";"210927C2PHR_B1506abcNR";"210927C2PHR_B1507abcNR";"210927C2PHR_B1508abcNR";"210927C2PHR_B1LP110abcNR";"210927C2PHR_B1LP130abcNR";"210927C2PHR_B1500abcNR";"210927C2PHR_B1501abcNR";"210927C2PHR_B1502abcNR";"210927C2PHR_B1503abcNR";"210927C2PHR_B1504abcNR";"210927C2PHR_B1505abcNR";"210927C2PHR_B1506abcNR";"210927C2PHR_B1507abcNR";"210927C2PHR_B1508abcNR";"D0NoQC - Anova p-value <= 0,05";"D0NoQC - Max fold change >= 2";"D0NoQC - Minimum CV >= 30";"D0NoQC - qValue>0.004";"D0NoQC - Power<0.8";"MD - Anova p-value <= 0,05";"MD - Minimum CV >= 30";"MD - Max fold change >= 2";"MD - qValue>0.004";"MD - Power<0.8";"MDNOLP130 - Anova p-value <= 0,05";"MDNOLP130 - Minimum CV >= 30";"MDNOLP130 - Max fold change >= 2";"MDNOLP130 - qValue>0.004";"MDNOLP130 - Power<0.8";"D-MolNet - Not fragmented";"Accepted Compound ID";"Accepted Description";"Adducts";"Formula";"Score";"Fragmentation Score";"Mass Error (ppm)";"Isotope Similarity";"Retention Time Error (mins)";"Compound Link"
"0,59_138,9730m/z";;"138,973021948938";"1";"0,594566666666667";"0,0495666666666666";"0";"1,8816422395059";"506";"503";"100 - 0,444";"150,181328176454";"---";"133,241905104772";"118,006832161108";"97,3477330456045";"127,017215058073";"97,7096444854119";"79,8139651753833";"115,878429458778";"138,696138172135";"150,181328176454";"131,451109151959";"118,243822441667";"112,511115551005";"120,836578369151";"75,0696618181093";"103,57594966107";"81,7287285327959";"73,6826777457959";"100,67869457335";"156,658739611807";"165,476178998366";"156,868817279982";"139,77432016036";"x";;;;;;;;"x";"x";"x";;;"x";;;;;;;;;;;;
"0,59_146,9964m/z";;"146,996407525157";"1";"0,594566666666667";"0,0457666666666667";"0";"Infinity";"506";"LP110";"100";"80,0859644319422";"---";"0";"7,51982028843224";"0";"26,2694191776944";"8,62702899083392";"14,9756012438221";"32,9942584520955";"50,4639210618802";"80,0859644319422";"77,4232833002358";"32,5253227510755";"0";"7,70014190673741";"0";"21,4213485717698";"7,21603393554147";"13,8251795669264";"28,6664125919515";"56,9995269775446";"88,2421240144194";"92,394038814848";"38,4477157592789";"x";"x";;;;;"x";;"x";"x";"x";"x";"x";"x";;;;;;;;;;;;
"0,59_182,9629m/z";;"182,962882270918";"1";"0,594566666666667";"0,0724";"0";"1,37356401081264";"LP110";"503";"100 - 24,6 - 26,5";"2447,43609874809";"---";"2447,43609874809";"1960,14381203525";"2239,82261440738";"2235,78914552496";"2005,57554990786";"1781,81437449";"1912,5256025071";"2297,79134598174";"2233,82128227121";"2181,94028650363";"2103,55002154275";"2066,64536576103";"2007,14710343581";"1727,23823077982";"1823,1700630799";"1677,55333195286";"1644,93587143402";"1661,66025806399";"2595,37937318529";"2461,31935869658";"2603,84559953534";"2486,57619580504";"x";;;;;;;;"x";"x";"x";;;"x";;;;;;;;;;;;
"0,59_260,9767m/z";;"260,976685340589";"1";"0,594566666666667";"0,0571833333333333";"0";"1,70947109989106";"505";"LP130";"100 - 18,7 - 16,3";"665,761675349247";"---";"477,861027567";"389,454770771893";"440,214058842704";"473,256359536587";"419,800487803336";"394,652982284306";"468,550150781648";"665,761675349247";"608,999922731324";"631,632930631763";"544,836233180563";"403,511772423517";"398,793705989572";"339,470879197748";"385,91601028043";"351,139954364859";"364,335845878267";"407,090584012648";"751,984779941134";"671,022033481255";"753,76701971188";"644,04306727409";"x";;;;;"x";;;"x";"x";"x";;;;;;;;;;;;;;;
"0,59_336,9223m/z";;"336,922347997071";"1";"0,594566666666667";"0,04195";"0";"7,14332434373691";"LP110";"503";"100 - 26,5 - 25,2";"202,497524008988";"---";"202,497524008988";"118,95946240756";"75,9114433084572";"130,364897070812";"79,8974083532737";"28,3477991849178";"38,6971895403149";"201,238228330445";"168,661522450209";"191,46527860841";"121,608399121671";"170,991418237773";"121,812052223708";"58,5390763503533";"106,305810676163";"66,8297754246109";"26,1701288434302";"33,6212921142697";"227,300684989759";"185,838443553488";"228,487473397906";"143,75153781422";"x";"x";;;;"x";;;"x";;"x";;;"x";;;;;;;;;;;;
"0,60_154,9678m/z";;"154,967811099554";"1";"0,598366666666667";"0,0305333333333333";"0";"4,89340586262329";"506";"504";"100";"36,1809064630132";"---";"29,3744546304513";"23,4359993272035";"16,2178853957084";"7,9047517538184";"15,5763846078162";"14,673650531331";"7,39380862302256";"13,0308658737169";"36,1809064630132";"30,6327078709728";"28,7825629101859";"24,804153442385";"23,9979831463888";"12,506415239175";"6,44591498374781";"13,0287866242794";"13,5464246273026";"6,4239652156823";"14,718499380952";"39,8656625753254";"36,5559232234981";"34,0234532356116";;"x";;"x";"x";"x";"x";;"x";"x";;"x";;"x";"x";;;;;;;;;;;
"0,60_222,9423m/z";;"222,942319401923";"1";"0,598366666666667";"0,04195";"0";"11,2081870575184";"505";"LP130";"100";"96,632058897023";"---";"36,3712042744685";"8,6215601507295";"9,74034673740193";"8,75888692682365";"21,6301716709857";"25,6540397307557";"29,0780423635703";"96,632058897023";"79,7804944110282";"79,9998100281455";"69,3197579948401";"30,7122955322212";"8,82830095291149";"7,51126413211225";"7,14241790772149";"18,0924456119549";"23,6833032691141";"25,263885259631";"109,14692184229";"87,9055441447833";"95,4687690556574";"81,9418879340553";"x";"x";;;;;"x";;"x";"x";"x";;"x";"x";;;;;;;;;;;;
